"feature","frequency","rank","docfreq","group"
"class",104,427,89,"all"
"plan",103,436,88,"all"
"girl",103,436,96,"all"
"water",103,436,93,"all"
"social",103,436,83,"all"
"finally",103,436,100,"all"
"monday",103,436,101,"all"
"couple",102,442,95,"all"
"instead",102,442,102,"all"
"playing",102,442,101,"all"
"federal",102,442,92,"all"
"hit",101,446,98,"all"
"quite",101,446,93,"all"
"history",100,448,95,"all"
"words",100,448,89,"all"
"following",100,448,98,"all"
"rest",100,448,95,"all"
"cool",100,448,98,"all"
"department",100,448,90,"all"
"watch",100,448,93,"all"
"hot",99,455,94,"all"
"that’s",99,455,88,"all"
"word",99,455,89,"all"
"project",98,458,93,"all"
"leave",98,458,94,"all"
"future",98,458,93,"all"
"late",98,458,96,"all"
"movie",98,458,80,"all"
"writing",98,458,81,"all"
"wasn't",98,458,94,"all"
"rather",97,465,92,"all"
"saturday",97,465,93,"all"
"whether",97,465,89,"all"
"either",96,468,91,"all"
"perfect",96,468,89,"all"
"beer",96,468,64,"all"
"outside",96,468,93,"all"
"officials",96,468,93,"all"
"community",96,468,85,"all"
"taking",96,468,95,"all"
"true",95,475,94,"all"
"close",95,475,94,"all"
"seems",95,475,92,"all"
"front",95,475,93,"all"
"states",95,475,88,"all"
"york",95,475,90,"all"
"especially",94,481,92,"all"
"stuff",94,481,85,"all"
"behind",94,481,91,"all"
"phone",94,481,86,"all"
"pick",93,485,84,"all"
"guys",93,485,83,"all"
"easy",93,485,90,"all"
"order",93,485,87,"all"
"members",93,485,91,"all"
"buy",93,485,89,"all"
"mr",93,485,77,"all"
"across",93,485,92,"all"
"experience",92,493,84,"all"
"based",92,493,91,"all"
"problem",92,493,79,"all"
"guy",92,493,86,"all"
"isn't",92,493,87,"all"
"former",92,493,86,"all"
"child",91,499,81,"all"
"books",91,499,76,"all"
"needed",90,501,88,"all"
"gets",90,501,85,"all"
"mean",90,501,84,"all"
"report",90,501,87,"all"
"hand",89,505,78,"all"
"means",89,505,87,"all"
"john",89,505,86,"all"
"known",89,505,87,"all"
"men",89,505,72,"all"
"third",89,505,83,"all"
"parents",88,511,81,"all"
"board",88,511,81,"all"
"include",88,511,81,"all"
"south",88,511,80,"all"
"six",88,511,85,"all"
"turn",87,516,81,"all"
"although",87,516,86,"all"
"mother",87,516,77,"all"
"body",87,516,77,"all"
"building",87,516,82,"all"
"schools",87,516,74,"all"
"matter",86,522,78,"all"
"system",86,522,78,"all"
"eyes",86,522,78,"all"
"living",86,522,79,"all"
"hey",86,522,84,"all"
"media",86,522,71,"all"
"strong",86,522,80,"all"
"billion",85,529,58,"all"
"heard",85,529,83,"all"
"final",85,529,79,"all"
"college",85,529,78,"all"
"lives",85,529,81,"all"
"needs",85,529,83,"all"
"goes",85,529,85,"all"
"question",85,529,78,"all"
"deal",85,529,83,"all"
"march",85,529,80,"all"
"won",84,539,77,"all"
"west",84,539,81,"all"
"taken",84,539,80,"all"
"sweet",84,539,77,"all"
"wrong",84,539,73,"all"
"chance",84,539,83,"all"
"awesome",84,539,81,"all"
"among",83,546,77,"all"
"possible",83,546,79,"all"
"works",83,546,77,"all"
"reading",83,546,72,"all"
"began",83,546,78,"all"
"watching",83,546,76,"all"
"wednesday",83,546,82,"all"
"san",83,546,64,"all"
"north",82,554,79,"all"
"per",82,554,68,"all"
"april",82,554,79,"all"
"worth",82,554,74,"all"
"wish",82,554,80,"all"
"moment",82,554,80,"all"
"yeah",82,554,79,"all"
"war",82,554,71,"all"
"inside",82,554,76,"all"
"film",82,554,72,"all"
"i'd",82,554,73,"all"
"bill",82,554,71,"all"
"light",81,566,72,"all"
"store",81,566,70,"all"
"mom",81,566,74,"all"
"fall",81,566,78,"all"
"hour",80,570,77,"all"
"drive",80,570,80,"all"
"art",80,570,69,"all"
"i’ve",80,570,67,"all"
"talking",80,570,75,"all"
"recently",80,570,79,"all"
"within",80,570,75,"all"
"education",80,570,70,"all"
"lead",80,570,77,"all"
"market",79,579,76,"all"
"enjoy",79,579,76,"all"
"saying",79,579,79,"all"
"they're",79,579,71,"all"
"tuesday",79,579,77,"all"
"ask",79,579,77,"all"
"forward",79,579,78,"all"
"perhaps",79,579,78,"all"
"single",78,587,75,"all"
"green",78,587,74,"all"
"boy",78,587,71,"all"
"looked",78,587,76,"all"
"didn’t",78,587,67,"all"
"understand",78,587,75,"all"
"baby",78,587,68,"all"
"near",78,587,73,"all"
"visit",78,587,77,"all"
"spent",78,587,76,"all"
"district",78,587,71,"all"
"door",77,598,66,"all"
"picture",77,598,75,"all"
"players",77,598,69,"all"
"worked",77,598,74,"all"
"challenge",77,598,64,"all"
"short",77,598,77,"all"
"what's",77,598,73,"all"
"shows",76,605,74,"all"
"looks",76,605,72,"all"
"learn",76,605,69,"all"
"field",76,605,71,"all"
"loved",76,605,70,"all"
"excited",76,605,76,"all"
"twitter",76,605,71,"all"
"knew",76,605,72,"all"
"cannot",76,605,69,"all"
"song",76,605,66,"all"
"likely",75,615,73,"all"
"added",75,615,73,"all"
"takes",75,615,70,"all"
"clear",75,615,72,"all"
"goal",75,615,62,"all"
"dinner",75,615,68,"all"
"gave",75,615,72,"all"
"plans",75,615,74,"all"
"heat",75,615,59,"all"
"ways",74,624,71,"all"
"giving",74,624,69,"all"
"starting",74,624,67,"all"
"interesting",74,624,71,"all"
"paper",74,624,60,"all"
"level",74,624,70,"all"
"age",74,624,63,"all"
"guess",73,631,72,"all"
"feeling",73,631,70,"all"
"style",73,631,66,"all"
"ok",73,631,69,"all"
"himself",73,631,65,"all"
"im",73,631,69,"all"
"washington",73,631,67,"all"
"brown",72,638,63,"all"
"race",72,638,59,"all"
"meeting",72,638,70,"all"
"son",72,638,63,"all"
"cause",71,642,67,"all"
"research",71,642,67,"all"
"sense",71,642,68,"all"
"he’s",71,642,50,"all"
"coach",71,642,68,"all"
"w",71,642,69,"all"
"america",71,642,68,"all"
"available",70,649,67,"all"
"star",70,649,67,"all"
"political",70,649,65,"all"
"meet",70,649,65,"all"
"turned",70,649,69,"all"
"companies",70,649,65,"all"
"mark",70,649,66,"all"
"d",70,649,64,"all"
"itself",69,657,68,"all"
"shot",69,657,65,"all"
"amount",69,657,65,"all"
"eat",69,657,66,"all"
"ones",69,657,65,"all"
"passed",69,657,66,"all"
"certain",69,657,63,"all"
"hate",69,657,58,"all"
"gone",69,657,65,"all"
"act",69,657,61,"all"
"bring",69,657,67,"all"
"energy",68,668,57,"all"
"alone",68,668,66,"all"
"can’t",68,668,63,"all"
"create",68,668,62,"all"
"lots",68,668,61,"all"
"human",68,668,64,"all"
"woman",68,668,64,"all"
"air",68,668,61,"all"
"obama",68,668,64,"all"
"played",68,668,63,"all"
"walk",68,668,65,"all"
"spring",68,668,61,"all"
"online",67,680,53,"all"
"page",67,680,62,"all"
"dark",67,680,63,"all"
"themselves",67,680,65,"all"
"piece",67,680,60,"all"
"general",67,680,64,"all"
"above",67,680,67,"all"
"town",67,680,66,"all"
"east",67,680,64,"all"
"event",67,680,62,"all"
"nearly",67,680,65,"all"
"director",67,680,62,"all"
"choice",66,692,63,"all"
